"gene_id","FM2_5_1","FM2_5_2","FM2_5_3","FM2_5_4","FM2_5_5","FM2_5_6","R20291_1","R20291_2","R20291_3","R20291_4","R20291_5","R20291_6","Rv189_1","Rv189_2","Rv189_3","Rv189_4","Rv189_5","Rv189_6","Rv9_1","Rv9_2","Rv9_3","Rv9_4","Rv9_5","Rv9_6"
"gene-CDR20291_RS15315",3209,4003,2904,571,275,740,3682,914,1085,827,880,923,3342,1992,1712,476,1223,230,388,5592,3859,917,464,591
"gene-CDR20291_RS15325",1382,1726,1176,177,218,186,1915,902,1155,196,198,205,1833,833,1120,167,247,93,328,1737,1297,230,172,181
"gene-CDR20291_RS15330",2277,2929,2875,477,637,482,2217,9065,11316,348,207,464,4344,3084,2682,532,473,300,2707,2216,4245,410,352,555
"gene-CDR20291_RS01830",76,79,27,8,18,17,81,2815,4804,30,71,21,418,163,330,32,10,36,172,131,238,64,239,46
"gene-CDR20291_RS15335",9637,11761,7721,1065,1367,1562,8946,18699,28719,980,622,1003,13220,4160,8229,1292,1131,711,5333,10113,10472,989,809,1293
"gene-CDR20291_RS15340",1423,1955,1936,181,570,208,2137,5420,7164,220,213,241,1866,1425,2020,171,236,163,2050,2269,2000,204,175,310
"gene-CDR20291_RS15345",53,103,59,23,24,26,56,279,387,14,12,17,104,60,81,21,26,10,313,212,180,26,34,25
"gene-CDR20291_RS15350",1344,1514,1385,286,430,242,8731,4310,4097,1115,832,1432,1835,3838,7559,268,344,208,2218,5299,3795,480,316,830
"gene-CDR20291_RS15355",13710,17011,11359,1775,2608,1110,17685,1570,1395,2331,2392,2135,20601,4294,4808,1608,2312,1356,1112,24211,3020,2249,2005,2150
"gene-CDR20291_RS15360",507,611,546,108,190,144,3601,3136,4054,438,311,395,849,741,1475,90,105,92,654,2217,1890,194,188,216
"gene-CDR20291_RS15365",1702,2053,1103,406,341,389,1596,559,1005,222,299,184,2181,941,1704,291,446,130,274,1968,1886,383,296,252
"gene-CDR20291_RS15370",48159,62787,50149,10022,7076,7356,54648,2384,1707,7544,7236,8971,53374,30784,20018,7703,9583,10798,3396,56752,11121,8511,8993,8465
"gene-CDR20291_RS15375",5597,6873,4684,1248,846,1020,4785,2083,3265,785,932,760,7460,4673,5602,944,1260,514,938,6208,6032,960,1069,773
"gene-CDR20291_RS15380",63,74,36,20,17,8,61,92,94,8,22,5,63,114,186,11,24,10,82,62,178,17,25,19
"gene-CDR20291_RS01835",2071,2731,2150,264,315,205,1158,2546,3429,256,316,169,2521,1266,1592,168,378,125,704,2806,2058,239,376,190
"gene-CDR20291_RS15385",2300,3539,1727,749,385,617,2939,102,94,466,608,337,3026,632,939,508,760,232,71,3016,692,726,627,413
"gene-CDR20291_RS15390",1077,1443,1225,109,97,132,1490,860,1079,143,131,123,1527,613,805,127,137,58,175,2202,1075,168,124,120
