"gene_id","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12"
"CD630_02410",7733,6724.5,7048.5,9134.5,11729,6544.5,1813,2263,2628,3209,2716,2586
"CD630_02420",10395,10027,10068,14176,17069.5,9574,2531,3061,3475,4377,3488,3492
"CD630_02430",16985,17212.5,16387.5,22701.5,28435,15509.5,4338,5185,5492.5,7712,5886,5786.5
"CD630_02440",26800,24849,23875,31618,45146.5,22378,5915,8251,9207.5,12192,8768,8909.5
"CD630_02450",3983,3346,3613.5,5320.5,5571.5,3626.5,1783,1721.5,1478.5,1625.5,1465.5,1529.5
"CD630_02460",6303.5,5563.5,5688.5,8253.5,9795.5,5601.5,3009,3375.5,2861.5,3734.5,2753.5,2708.5
"CD630_02470",4974,5031,4729.5,7421,7282.5,4691,2603,2566.5,2075.5,2501,1985.5,1880
"CD630_02480",19602.5,18607,18619,25328,30950.5,17795,9677,10250,8855,10519.5,7874,8121.5
"CD630_02490",12861,13293,12174.5,17210,23278,12192.5,6163,7267.5,6258.5,7647,5226.5,5374
"CD630_02500",7125.5,7518,6836,8415,11939,6626,2969.5,3140,2602,3084.5,2288,2381
"CD630_02510",11374.5,11307,10321.5,13779.5,19352,10522.5,4200,5106,4366,5037.5,3588,3722.5
"CD630_02520",4699.5,4876,4124.5,5310.5,7723,4278.5,1440,1832,1711.5,2051.5,1255,1396.5
"CD630_02530",9828.5,10798.5,9113,12451.5,18074.5,9977,3273,3757,3322.5,3903.5,2566.5,2775
"CD630_02540",4059,4415,3955,5053,7898,4051,1438,1658.5,1332,1539.5,1249.5,1247
"CD630_02550",13990.5,16001,13140,18451,24602.5,13508.5,4925,5995,5003,5929.5,4080.5,4208
"CD630_02551",4241.5,4810,3841.5,5074.5,7557.5,3846,1280,1719.5,1554,1868.5,1217.5,1306.5
"CD630_02560",12120,11672.5,10849.5,14800,20634.5,10555,3360,4694.5,4313.5,4946.5,3072,3345.5
"CD630_02570",5285.5,6069,5290,6810,9731,5261.5,1648.5,1805,1660,1784.5,1203,1219
"CD630_02580",4466.5,4368,3684.5,5172,7117.5,3863,893,1369.5,1284.5,1456,897,980.5
"CD630_02590",4939,5258,4418.5,6469,8065.5,4316.5,931,1448.5,1372,1611.5,732.5,900
"CD630_02600",10695.5,10030,9465,13781,16018.5,9139.5,1770.5,2619.5,2117.5,2496,1284.5,1542.5
"CD630_02610",3623.5,3080,3220.5,4251,5740,3042,610,917.5,778.5,882.5,455.5,547
"CD630_02620",19199.5,16460,16400,22614.5,29856.5,15859,2476,4089,2912,3573,1697,2118
