"gene_id","Sal-marker2-LE-rep-2_S6_R1_001 (GE) - Total counts","Sal-marker2-LE-rep-3_S7_R1_001 (GE) - Total counts","Sal-marker2-LE-rep-4_S8_R1_001 (GE) - Total counts","Sal-delropB-LE-rep-1_S13_R1_001 (GE) - Total counts","Sal-delropB-LE-rep-2_S14_R1_001 (GE) - Total counts","Sal-delropB-LE-rep-3_S15_R1_001 (GE) - Total counts","Sal-sip-LE-rep-1_S9_R1_001 (GE) - Total counts","Sal-sip-LE-rep-2_S10_R1_001 (GE) - Total counts","Sal-sip-LE-rep-3_S11_R1_001 (GE) - Total counts"
"RSSL_00935",1398,1462,1391,1698,1535,1716,1493,1325,1120
"RSSL_00934",103,130,187,257,223,262,181,137,127
"RSSL_00933",54,64,75,127,101,98,76,61,61
"RSSL_00932",117,131,133,207,148,148,119,104,107
"RSSL_00931",148,184,159,250,173,205,177,139,145
"RSSL_02221",104,121,113,159,127,167,112,102,100
"RSSL_00393",2501,2041,1628,2356,2249,2549,1886,1648,1353
"RSSL_00392",4368,3733,2978,4078,4080,4655,3434,2936,2410
"RSSL_00391",2184,1976,2021,2302,2264,2560,1943,1858,1516
"RSSL_00390",1,1,0,1,1,5,1,0,3
"RSSL_00389",58,61,57,75,64,68,50,45,43
"RSSL_00388",6745,6487,6631,7257,7013,7932,7192,6742,5141
"RSSL_00387",1645,1539,1581,1864,1637,1901,1769,1470,1231
"RSSL_00386",7878,6508,7924,9892,8834,10551,8466,7236,5976
"RSSL_00385",5844,4898,5728,6897,5909,7200,5781,5389,4231
"RSSL_00384",5442,4490,5414,6739,6089,6938,5563,4901,4143
"RSSL_00383",1920,1510,1932,2424,2007,2428,2013,1781,1407
"RSSL_00382",5996,5165,5795,7478,6711,7805,5972,5207,4411
"RSSL_00381",431,615,448,644,546,680,526,422,330
"RSSL_00380",2256,1972,2127,2489,2449,2809,2208,1942,1598
"RSSL_00379",1475,1363,1385,1718,1668,1923,1458,1297,1108
"RSSL_00378",689,587,589,702,627,723,627,586,496
"RSSL_00377",1484,1325,1391,1714,1601,1803,1504,1375,1067
"RSSL_00376",1986,1694,1809,2243,2126,2515,1898,1618,1487
"RSSL_00375",305,334,341,378,355,417,320,291,251
"RSSL_00374",18057,19999,22750,27437,25015,27107,24609,20728,18092
"RSSL_00373",4047,4402,5480,6753,6175,6517,5690,5217,4162
"RSSL_00372",22842,21667,24543,30447,29085,31814,26183,23358,19709
"RSSL_00371",1403,1577,1656,1764,1521,1669,1659,1474,1217
"RSSL_00370",235,220,221,283,225,270,251,217,177
"RSSL_00369",12923,14347,12012,13963,13074,14155,13680,11629,9235
"RSSL_00368",4877,5636,4589,4458,4043,4784,5583,4260,3844
"RSSL_00367",2652,2477,2336,2939,2866,3159,2613,2308,1878
"RSSL_00366",2038,1631,1760,2189,1997,2461,1923,1526,1281
