gene_id,WT1,WT2,A1,A2
PA14_RS03775,19,7,10,3
PA14_RS03780,25,24,23,22
PA14_RS03785,11,8,15,18
PA14_RS03790,155,100,59,57
PA14_RS03795,3,3,2,1
PA14_RS03800,8,1,5,5
PA14_RS03805,6,5,1,14
PA14_RS03810,7,2,6,9
PA14_RS03815,1,1,0,1
PA14_RS03820,1,1,0,4
PA14_RS03825,0,0,3,2
PA14_RS03835,0,0,1,2
PA14_RS03840,5,4,14,20
PA14_RS03845,2,1,5,2
PA14_RS03850,488,299,61,75
PA14_RS03855,75,77,12,17
PA14_RS03860,3,5,17,32
PA14_RS03865,0,1,6,4
PA14_RS03870,2,2,2,5
PA14_RS03875,7,7,24,18
PA14_RS03880,1,0,6,9
PA14_RS03885,21,10,9,32
PA14_RS03890,282,149,228,230
PA14_RS03895,12,5,15,13
PA14_RS03900,3,1,23,22
PA14_RS03905,5,9,15,21
PA14_RS03910,23,12,28,31
PA14_RS03915,13,14,35,60
PA14_RS03920,1,3,23,19
PA14_RS03925,4,1,12,11
PA14_RS03930,0,1,5,5
PA14_RS03935,7,4,9,22
PA14_RS03940,9,5,49,73
PA14_RS03945,1,1,18,25
PA14_RS03950,16,8,52,54
PA14_RS03955,1,3,23,13
PA14_RS03960,2,2,5,13
PA14_RS03965,5,3,24,28
PA14_RS03970,137,64,160,176
PA14_RS03975,16,14,25,36
PA14_RS03980,4,2,13,7
PA14_RS03985,0,1,1,0
PA14_RS03990,18,9,43,41
PA14_RS03995,46,28,64,95
PA14_RS04000,6,4,11,23
PA14_RS04005,2,1,10,6
PA14_RS04010,3,2,9,7
PA14_RS04015,0,0,1,3
PA14_RS04020,0,1,2,0
PA14_RS04025,8,6,22,30
PA14_RS04030,33,27,204,227
PA14_RS04035,3,3,8,5
PA14_RS04045,51,36,126,136
PA14_RS04050,2,2,6,5
PA14_RS04055,0,3,10,4
PA14_RS04060,0,0,3,2
PA14_RS04065,1,1,4,4
PA14_RS04070,4,2,15,21
PA14_RS04075,6,5,16,15
PA14_RS04080,4,7,50,58
PA14_RS04085,3,2,12,13
PA14_RS04090,3,4,29,35
PA14_RS04095,2,3,13,9
PA14_RS04100,3,1,8,5
PA14_RS04105,1,0,6,6
PA14_RS04110,0,0,1,7
PA14_RS04115,3,1,1,4
PA14_RS04120,2,3,15,10
PA14_RS04125,4,2,7,16
PA14_RS04130,11,8,36,43
