gene_id,ALE__1,ALE__2,ALE__3,COL__1,COL__2,COL__3,ctrl__1,ctrl__2,ctrl__3,NV716__1,NV716__2
PA3709,46,97,82,311,188,154,79,80,124,162,75
PA3710,362,913,497,2559,1434,1281,654,645,868,1277,940
PA3711,49,137,88,179,117,98,38,51,39,69,50
PA3712,1559,3758,2503,1295,710,677,292,407,446,2162,1671
PA3713,88,228,123,206,128,90,53,75,93,185,74
PA3714,23,87,34,49,18,19,39,53,27,58,32
PA3715,98,170,106,238,157,147,43,48,74,82,55
PA3716,429,1051,815,1081,639,435,369,419,499,567,387
PA3717,53,184,74,173,78,70,42,41,33,68,60
PA3718,118,359,214,234,127,136,89,106,118,179,150
