"gene_id","BF0285BR1_S16","BF0285BR2_S17","BF0285BR3_S18","BioFWTBR1_S10","BioFWTBR2_S11","BioFWTBR3_S12","Pla0285BR1_S7","Pla0285BR2_S8","Pla0285BR3_S9","PlankWTBR1_S1","PlankWTBR2_S2","PlankWTBR3_S3"
"PA0506",8877,5663,12420,5135,5744,5075,3559,4168,3504,5742,5075,5948
"PA0507",539,247,301,261,297,296,457,455,360,645,470,667
"PA0508",1570,816,1358,633,586,604,1001,1137,961,1095,1048,957
"PA0509",1822,1128,1594,1118,1322,1026,1886,2163,1672,2839,2551,2588
"PA0510",1945,797,984,904,861,688,1421,1590,1042,2220,1876,1927
"PA0511",3080,1231,1559,1565,1718,1302,2089,2412,1733,3220,2931,3151
"PA0512",1233,533,698,574,670,530,1008,1154,914,1541,1351,1430
"PA0513",805,343,437,355,410,312,797,883,701,1011,984,865
"PA0514",1670,702,937,835,853,652,1062,1282,1035,1707,1539,1600
"PA0515",1581,796,1096,881,974,814,1349,1566,1484,2074,1963,2022
"PA0516",4291,1897,2844,2107,2426,1960,3643,3791,4165,5390,4979,4863
"PA0517",1719,661,1127,667,819,588,2368,2419,1664,3438,2947,2411
"PA0518",3590,1711,3534,2142,2403,1799,5229,5457,6314,8224,7717,7447
"PA0519",21314,11938,24449,14846,16831,13625,23957,29032,38866,49655,46323,47512
"PA0520",1479,653,803,622,712,585,808,740,685,1573,1251,1133
"PA0521",211,113,220,102,150,104,263,185,256,552,449,425
"PA0522",84,47,107,36,58,43,125,89,113,243,225,190
"PA0523",1513,1397,3959,663,938,607,2746,2505,4100,8943,6626,7124
"PA0524",2834,2054,6575,1558,1907,1618,6613,6963,9289,23630,17979,19492
"PA0525",1961,1290,2572,983,1221,972,3457,3662,2313,9033,5862,6727
"PA0526",1613,1291,2717,891,938,778,2727,3376,2148,5690,3973,4605
"PA0527",2846,1920,2496,1471,1713,1620,4949,5602,6928,5537,5913,4482
"PA0528",249,216,188,144,162,130,216,273,225,270,261,264
"PA0529",470,690,2265,250,228,239,1646,1643,1853,2663,1984,2317
"PA0530",329,208,677,174,161,155,1961,1566,1039,2734,1932,2220
"PA0531",604,312,562,327,494,406,1118,1092,943,1837,1463,2110
"PA0532",451,245,262,231,288,279,315,480,572,436,378,525
