locusid,BioFWTBR1_S10,BioFWTBR2_S11,BioFWTBR3_S12,PlankWTBR1_S1,PlankWTBR2_S2,PlankWTBR3_S3
PA2334,315,384,341,59,44,43
PA2335,97,116,123,64,49,83
PA2336,83,97,93,49,34,35
PA2337,477,475,458,318,307,345
PA2338,495,415,496,745,611,891
PA2339,214,206,246,225,207,305
PA2340,285,240,258,288,207,388
PA2341,277,220,231,316,230,382
PA2342,170,140,178,194,154,186
PA2343,59,34,43,48,34,46
PA2344,108,81,82,205,159,147
PA2345,396,326,297,725,611,659
PA2346,72,71,75,45,49,57
PA2347,39,43,38,25,22,17
PA2348,47,60,63,37,29,47
PA2349,61,60,67,40,35,51
PA2350,84,85,88,78,67,75
PA2351,111,132,128,83,91,132
PA2352,274,261,224,170,155,138
PA2353,355,332,318,320,309,240
PA2354,62,84,74,51,41,60
PA2355,63,61,81,69,65,84
PA2356,27,40,31,17,31,29
PA2357,35,33,49,22,23,17
PA2358,242,243,293,52,62,61
PA2359,685,709,739,201,182,194
PA2360,672,767,599,988,926,1240
PA2361,1165,1353,1052,1545,1344,1796
PA2362,378,384,305,717,514,757
PA2363,1878,2007,1624,2066,1499,2464
PA2364,1472,1571,1482,1122,893,1502
PA2365,4573,4690,3447,4972,5089,8217
PA2366,6362,5895,4489,8406,8435,12688
PA2367,1866,1797,1282,2251,2060,2893
PA2368,482,460,318,568,482,714
PA2369,1258,1199,831,1355,1296,1639
PA2370,513,528,387,587,506,699
PA2371,2612,2945,2255,3106,2405,4181
PA2372,4709,5339,4303,5479,4384,7466
PA2373,2907,3369,2568,3883,3678,5162
PA2374,360,368,320,667,532,744
PA2375,585,612,596,761,598,896
PA2376,294,338,294,125,153,160
PA2377,569,390,545,171,126,203
PA2378,1772,1291,1391,3730,3126,3939
PA2379,1092,1138,1094,1289,1281,1661
PA2380,632,804,810,623,590,563
PA2381,4804,5670,4906,3697,3653,3954
PA2382,563,539,471,642,541,517
PA2383,1421,1300,1387,356,303,269
PA2384,6623,6847,8929,747,629,745
PA2385,4682,3465,4162,913,853,676
PA2386,26233,21399,25172,2755,3211,1992
PA2387,1208,1157,1391,599,526,583
PA2388,2593,2700,2870,2533,2356,2743
PA2389,2995,2473,3039,496,579,398
PA2390,2736,2250,2733,626,617,434
PA2391,1363,1050,1151,438,395,307
PA2392,8796,8026,10806,654,729,555
PA2393,8015,6397,7536,713,917,523
PA2394,6515,5116,5896,768,812,529
