gene_id,Ctrl1,Ctrl2,Ctrl3,P5A1_25,P5A2_25,P5A3_25
PA2066,3506,3796,17486,496,467,375
PA2067,5146,6048,28859,649,489,487
PA2068,9194,9163,45005,619,581,540
PA2069,29136,28076,141135,713,646,656
PA2070,647,714,3415,783,780,729
PA2071,2717,2491,13239,2234,2123,2061
PA2072,1114,1072,5448,505,508,472
PA2073,228,199,1074,182,171,213
PA2074,130,143,641,90,106,71
PA2075,175,218,893,156,158,162
PA2076,229,263,1207,423,492,419
PA2077,362,415,1903,741,796,706
PA2078,322,330,1653,572,572,440
PA2079,654,514,2900,813,763,679
PA2080,1844,1851,8801,2647,2572,2377
PA2081,596,548,2881,1015,997,859
PA2082,176,109,792,207,232,199
PA2083,197,197,1148,542,524,474
PA2084,983,1045,5339,1491,1393,1311
PA2085,111,170,681,345,265,242
PA2086,171,175,920,285,303,252
PA2087,197,141,741,204,188,137
PA2088,198,277,1238,367,370,331
PA2089,1703,1461,7805,1904,1798,1553
PA2090,146,191,965,108,62,28
PA2091,166,198,1075,105,99,75
PA2092,156,240,1381,194,163,156
PA2093,178,228,875,124,140,139
