"locus","SCV24_1","SCV24_2","REVa_1","REVa_2","REVb_1","REVb_2","SCV104357_1","SCV104357_2"
"PA14_04940",30,77,60,35,76,9,139,134
"PA14_04950,mtgA",10,19,24,29,24,4,19,44
"PA14_04960",12,16,46,23,30,6,18,23
"PA14_04970,thiS",15,29,22,19,21,3,66,70
"PA14_04980,thiG",59,133,117,128,116,25,291,280
"PA14_05000,trmB",51,137,57,59,85,8,156,156
"PA14_05010",19,12,24,33,23,5,88,105
"PA14_05020",9,10,42,40,35,3,19,26
"PA14_05030",18,47,13,22,41,4,55,62
"PA14_05040",19,25,22,28,29,4,35,40
"PA14_05050",59,57,140,227,238,28,256,344
"PA14_05060",203,218,827,1207,1134,174,1008,775
"PA14_05070,metW",187,245,413,499,500,104,465,427
"PA14_05080,metX",90,147,132,148,132,22,241,270
"PA14_05110",84,110,208,179,145,25,117,112
"PA14_05120",14,15,20,36,19,5,105,128
"PA14_05130",107,86,229,240,235,40,318,256
"PA14_05150,proC",108,111,240,226,246,48,325,415
"PA14_05160",1006,846,1625,1395,1463,435,911,1214
"PA14_05180,pilT",258,309,606,508,687,96,256,329
"PA14_05190,pilU",127,122,422,342,434,62,251,325
"PA14_05200,czcD",51,51,196,206,244,23,124,160
"PA14_05210",28,31,78,69,87,7,177,222
"PA14_05220",329,138,783,804,630,157,303,390
"PA14_05230",254,96,623,704,483,109,195,240
"PA14_05250,pyrC",134,168,468,470,388,90,709,790
"PA14_05260,pyrB",225,304,728,681,608,100,1008,1260
"PA14_05270,pyrR",34,50,130,119,96,25,232,328
"PA14_05280,yqgF",48,78,152,83,90,8,140,155
"PA14_05290,algH",510,663,1128,890,828,122,638,644
"PA14_05300",95,230,182,179,173,36,160,245
"PA14_05310,gshB",234,296,696,356,631,125,906,1399
"PA14_05320,pilG",266,290,913,780,760,155,1788,2160
"PA14_05330,pilH",191,188,761,570,552,97,917,1725
"PA14_05340,pilI",49,66,204,187,134,19,270,313
"PA14_05360,pilJ",938,1762,4048,3526,3355,674,2951,2565
"PA14_05380,pilK",40,111,225,284,235,31,280,244
"PA14_05390,chpA",804,1208,3604,4216,4623,567,2281,2159
"PA14_05400",70,160,283,414,452,40,246,242
"PA14_05410,chpC",27,35,70,102,119,19,109,67
"PA14_05420,chpD",15,17,44,58,44,6,45,52
"PA14_05430,chpE",3,6,3,9,21,0,8,12
"PA14_05440",88,54,119,89,83,22,58,62
"PA14_05450",32,40,45,32,25,4,67,86
"PA14_05460,bioA",501,810,1072,704,519,195,851,846
"PA14_05480",238,305,391,202,225,33,304,318
"PA14_05500",2749,3151,5879,4541,4914,922,1848,1576
"PA14_05510,yceI",782,701,2016,1841,1953,226,2669,2953
"PA14_05520,mexR",113,114,218,561,402,66,223,353
"PA14_05530,mexA",552,691,1107,1108,963,226,1315,1410
"PA14_05540,mexB",932,1130,1940,2356,1948,320,4544,5618
