"gene_id","Ag1","Ag2","Ag3","AgTe1","AgTe2","AgTe3","C1","C2","C3","Te1","Te2","Te3"
"A4W92_RS17405",1773,2176,753,1192,1915,3570,1241,1997,1293,1353,1150,1627
"A4W92_RS17410",437,398,220,280,329,599,340,430,338,346,337,401
"A4W92_RS17415",82,72,53,72,61,125,64,63,44,53,42,62
"A4W92_RS17420",75,73,62,47,39,88,59,84,46,55,67,85
"A4W92_RS17425",417,330,228,667,597,1141,345,370,325,381,423,466
"A4W92_RS17430",348,349,254,389,270,486,277,384,291,336,389,378
"A4W92_RS17435",279,239,183,182,157,316,212,293,228,245,245,245
"A4W92_RS17440",1426,1159,886,782,769,1349,1099,1167,1060,1114,1001,1243
"A4W92_RS17445",799,594,453,479,503,897,565,661,564,562,488,625
"A4W92_RS17450",139,111,101,160,125,230,149,137,113,129,139,172
"A4W92_RS17460",563,526,373,297,297,525,628,597,560,433,464,530
"A4W92_RS17465",632,498,391,349,367,610,383,542,431,413,459,575
"A4W92_RS17470",566,376,350,575,435,995,362,487,396,464,515,554
"A4W92_RS17475",687,792,430,701,634,957,1089,889,719,663,885,806
"A4W92_RS17480",88,55,62,44,39,86,67,58,50,57,62,75
"A4W92_RS17485",2786,1601,1317,1245,1246,1962,1506,1802,1512,1169,1255,1941
"A4W92_RS17490",884,532,477,393,384,691,406,579,531,497,483,656
"A4W92_RS17495",957,1000,556,596,640,1181,730,886,690,790,802,879
"A4W92_RS17500",366,367,228,245,280,411,296,339,275,259,283,350
"A4W92_RS17505",523,503,330,399,346,663,431,443,402,422,425,548
"A4W92_RS17510",1669,1732,1171,1624,1146,2342,1162,1345,1117,1212,1665,1871
"A4W92_RS17515",53,60,46,24,33,59,67,55,49,44,46,52
"A4W92_RS17520",42,30,26,15,16,34,63,60,49,26,35,29
"A4W92_RS17525",153,136,105,58,63,100,166,196,180,137,95,101
"A4W92_RS17530",1097,911,736,422,458,828,1139,1197,1141,797,801,833
"A4W92_RS17535",286,294,220,95,123,227,275,350,240,212,202,212
"A4W92_RS17540",1506,1399,959,552,716,1249,1762,1721,1500,1186,1183,1250
"A4W92_RS17545",1936,1846,1243,804,983,1685,2104,1909,1701,1455,1524,1513
"A4W92_RS17550",1510,1160,979,905,947,1761,1293,1495,1242,1177,1226,1409
"A4W92_RS17555",825,629,450,1128,1093,1943,476,690,567,763,665,981
"A4W92_RS17560",222,134,95,118,152,210,95,155,113,130,149,178
"A4W92_RS17565",381,174,346,218,245,364,205,254,223,261,228,335
"A4W92_RS17570",103,67,134,100,103,186,72,85,59,91,95,134
"A4W92_RS17575",147,86,100,164,132,219,79,105,67,112,124,149
"A4W92_RS17580",116,68,117,223,197,341,44,59,47,143,183,190
"A4W92_RS17585",65,47,40,46,36,73,35,47,36,62,52,67
"A4W92_RS17590",70,52,40,31,30,71,37,44,43,51,39,64
"A4W92_RS17595",54,29,71,52,50,85,30,30,38,57,45,76
"A4W92_RS17600",156,76,86,89,82,134,99,112,108,83,116,117
"A4W92_RS17605",536,257,905,1908,1238,2630,90,97,100,663,766,1064
"A4W92_RS17610",68,30,84,111,111,198,32,40,31,56,76,86
"A4W92_RS17615",73,36,159,68,73,139,51,43,45,69,55,113
"A4W92_RS17620",58,20,99,38,53,80,36,50,42,62,48,53
"A4W92_RS17625",975,758,644,867,905,1574,937,1053,909,982,1015,1155
"A4W92_RS17630",126,116,113,107,139,215,129,182,145,126,124,150
"A4W92_RS17635",1064,919,845,705,813,1261,956,1183,947,984,900,1107
"A4W92_RS17640",47,25,80,127,95,149,11,9,9,95,83,122
