gene_id,Mut  - 77-KO_GGACCC_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-2_GGATGT_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-3_GTGTTA_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-4_GTGGCC_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77-KO+DP_TTCAGC_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77-KO+DP-2_TTCGCT_L001_R1_001 (paired)-1 (GE) - Total gene reads,Mut + DP - 77-KO+DP-3_TGTGAA_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77+DP-KO-4_TGTTGC_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP_CCTTCA_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-2_CCTCGG_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-3_CACACA_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-4_CACCTC_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-2_AAGACG_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77_AAGGGA_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-3_ACACGA_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-4_ACAAAC_L001_R1_001 (paired) (GE) - Total gene reads
PGN_RS08000,51,46,52,13,16,26,74,29,53,53,47,36,105,30,50,25
PGN_RS08005,632,510,374,265,481,365,339,385,741,398,467,363,455,348,509,296
PGN_RS08010,259,237,191,174,172,106,221,232,196,149,262,213,285,147,351,181
PGN_RS08015,3547,4041,2367,3418,3796,2897,2224,2936,3060,2180,2296,3316,2734,2485,3287,3449
PGN_RS08020,529,622,293,411,351,301,243,305,432,274,377,444,407,494,616,591
PGN_RS08030,17202,24088,10662,10656,23162,17319,12595,11002,21577,17819,11422,12626,16345,17105,14987,10901
PGN_RS08035,2848,2483,1198,1539,2481,1773,1221,1657,2575,1442,1402,1648,1712,2252,1442,1505
PGN_RS08040,4498,4520,3205,3569,6385,4029,2742,2816,6008,3103,2081,2878,2905,3475,3486,3811
PGN_RS08045,340,271,160,242,628,424,136,196,612,244,136,196,232,271,321,265
PGN_RS08055,3915,3542,2609,3227,3297,2622,2226,2254,3955,2326,1753,2247,2893,3114,3594,4324
PGN_RS08060,3615,2559,2068,2368,3085,1873,3540,3543,4689,2120,3663,4609,2412,2219,3801,3126
PGN_RS08070,882,1358,1812,679,1152,1114,1683,635,1018,1046,1322,505,979,762,2171,681
PGN_RS08080,1739,1655,1231,1450,1819,1120,1849,1523,1955,1310,2075,2419,1552,1275,2110,1980
PGN_RS08085,288,224,392,276,145,98,397,237,260,141,242,313,250,204,389,389
PGN_RS08090,393,432,642,472,270,257,701,337,406,222,637,619,282,312,692,518
PGN_RS08110,1180,1713,1840,887,3573,2752,3157,2573,2119,1733,2711,3239,1497,1409,2444,1231
PGN_RS08115,1200,1333,1090,613,1095,1163,999,527,904,1172,1028,317,897,827,1849,535
PGN_RS08120,5620,5868,3906,4037,5713,4975,2789,2947,5285,4386,3491,1629,3264,3815,8422,4196
PGN_RS08125,6248,5457,2406,3399,5768,3775,1682,2365,6589,3201,1475,1702,3336,4835,4272,3398
PGN_RS08145,3662,3326,1795,2131,3548,2657,1489,1883,3374,2126,1515,1359,2216,2696,2998,1944
PGN_RS08155,2126,2381,3257,1838,1972,1664,2538,2045,1452,1269,2395,2440,1267,1510,4558,1603
PGN_RS08165,105,94,345,63,88,33,248,46,88,33,47,57,94,52,103,57
PGN_RS08170,813,641,1397,509,689,396,1074,460,679,271,714,553,366,383,973,381
PGN_RS08175,1383,1745,2055,1102,1115,965,1718,869,920,548,1654,1085,696,603,1900,768
PGN_RS08180,5225,6373,4368,4162,6110,4385,5763,4110,4275,4356,6041,3534,4590,3581,7906,4033
PGN_RS08190,5244,5281,2234,3071,4623,3818,2242,3973,5800,4180,3871,3203,3573,4051,5939,2975
PGN_RS08195,422,258,235,206,327,202,236,289,311,160,287,534,294,230,358,346
