"gene_id","Wild Type + DP - WT-1_DP_CCTTCA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-2_DP_CCTCGG_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-2_DP28_CACCTC_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-1_DP28_CACACA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-1_DP_TTCAGC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-1_DP29_TGTGAA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-2_DP28_TGTTGC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-2-DP_TTCGCT_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-1_AAGGGA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-1-28_ACACGA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-2_AAGACG_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-2-28_ACAAAC_L001_R1_001 (paired) (GE)-1 - Total gene reads","Pgr Mutant - MUT-1_GGACCC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-1-28_GTGTTA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-2_GGATGT_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-2-28_GTGGCC_L001_R1_001 (paired) (GE) - Total gene reads"
"ablA",588,1125,1890,1582,2994,1201,3368,3889,654,5422,1150,7182,5465,1527,13879,8310
"ahpC",1492,1215,667,577,1364,978,776,1809,452,2105,520,1265,1738,1106,4023,1205
"ahpF",666,734,459,383,821,420,422,1510,405,1946,559,1640,1628,863,4313,1127
"alaS",1485,1564,2645,3314,3552,2928,4809,4046,1310,8278,1633,5914,7079,4239,15527,9598
"aroB",168,110,237,326,324,209,356,312,167,1019,190,843,873,451,1793,1020
"aroC",302,261,650,701,740,610,1163,620,470,2249,463,2179,2567,1593,4721,2327
"asnS",3332,2569,3992,6566,8776,4854,7486,8560,3418,16645,3583,14463,19759,7713,32506,19231
"aspS",3635,5262,7956,8409,8503,5073,11012,13157,2757,18989,4043,22787,15356,5398,36833,25533
"bamD",5397,4143,7989,9165,8279,7787,12010,7219,5081,17687,4310,16270,14154,8914,23209,12578
"bcp",2791,2725,5539,6607,5295,5249,9464,5100,3005,12693,3232,11565,8858,5434,16780,12440
"bioB",306,321,421,554,694,472,660,686,371,1938,403,1492,1719,825,3302,2086
"bioC",324,384,814,899,843,607,1077,833,403,2628,574,3203,1965,1297,3671,3005
"bioD",223,182,293,518,312,336,444,300,221,1307,225,756,805,610,1470,987
"carA",206,292,381,386,433,179,391,572,191,1321,289,1499,1017,269,3172,1388
"carB",1004,1221,1960,2181,1834,921,1870,2236,953,6834,1417,7526,4986,1730,11066,6125
"cas1",919,1081,1127,1323,2055,825,1074,2263,1297,3690,1260,3683,5851,1005,9194,3709
"cas10",858,591,620,1168,2198,442,425,1479,1244,2679,1282,1690,6136,730,10105,1524
"cas1b",582,218,232,852,669,310,168,348,790,1704,674,692,1950,473,2416,676
"cas2_1",8,4,5,16,9,5,1,7,5,20,7,23,26,18,75,19
"cas2_2",85,31,27,129,116,41,28,44,152,251,121,76,319,75,473,95
"cas4",92,56,63,160,155,58,47,104,175,390,158,214,517,100,895,173
"cas5p",701,368,348,1099,1458,406,331,899,966,2568,1026,1027,3881,729,7094,1301
"cas6",1068,854,853,1931,3197,732,848,1795,1214,4323,1678,2124,6373,935,11136,2671
"cas7p",3118,1681,2391,6144,7456,1548,1900,4445,4099,12596,5174,6518,21508,2862,37412,6946
"cas8c",1407,721,743,2277,3507,751,670,1991,2219,4917,2461,2148,8936,1259,15623,2781
"ccsA",142,74,126,244,306,192,154,151,222,602,258,458,753,282,1268,384
"cdd",251,333,577,564,543,450,816,526,268,1561,360,1689,982,618,1999,1520
"clpB",272,266,413,603,301,250,667,658,256,1672,209,900,1240,1013,3135,2725
"clpP",2228,1496,2980,4759,3771,3770,4135,2819,2779,10100,2698,7874,7882,4958,14604,8516
"clpX",179,122,201,304,355,188,253,322,218,937,228,673,996,332,3654,720
"cls",3171,2291,2343,5436,4978,3935,3116,4049,3174,9359,2969,5345,9429,3797,15594,8003
"cmr3",376,488,617,706,1443,289,451,1401,595,1677,738,1819,3629,392,6905,1589
"cmr4",520,485,529,644,1166,390,503,1120,721,1571,694,1415,2630,430,4450,1542
"cmr6",341,534,628,529,1162,273,515,1521,489,1385,597,1834,2635,345,5486,1879
"coaBC",502,513,790,879,1038,503,876,1134,419,2362,502,2339,2170,775,4951,2347
"coaD",90,78,221,336,213,308,396,220,128,902,153,631,641,537,1078,830
"coaE",220,312,460,396,613,352,656,709,256,1733,379,2044,1343,473,2966,1717
"cobC",236,224,536,526,575,303,669,572,264,1435,290,2081,1222,455,2609,1669
"cobD",58,42,57,86,107,93,115,94,88,279,101,230,369,215,791,334
"cobJ",957,1105,1403,1585,2010,946,1413,2007,1022,4753,1145,3808,4317,1492,7846,4561
"cobM",850,1178,1410,1523,1842,922,1423,2286,942,4363,1071,4617,3929,1245,8450,4681
"cobT",152,160,274,305,297,243,353,365,158,854,160,816,659,332,1778,972
"cobU",128,122,175,253,295,149,215,249,119,604,125,437,545,197,1021,501
"dacB",235,184,228,348,488,294,372,334,194,653,174,581,780,354,1459,536
"dapB",290,381,1202,879,938,526,1719,1189,319,2773,511,4622,1795,713,5700,3187
"deoC",978,898,1184,1741,2110,1252,1619,2089,901,3685,899,3203,4273,1083,6545,3124
"dnaA",2375,2110,3304,4377,4679,2919,3857,4146,3123,15737,3516,12916,13120,6309,25091,13655
"dnaB",652,574,866,1275,1153,890,1224,1177,581,3581,635,2416,2352,1298,4920,3118
"dnaE",2033,1577,2538,3955,3639,2837,3453,2682,2091,8223,2305,6451,7701,3740,14837,6081
"dnaG",1659,1793,2646,3472,4312,2852,3173,4516,2292,10495,2520,9665,11373,4451,21573,12018
"dnaJ",169,162,355,473,347,180,477,655,180,1770,287,1143,1216,637,4461,2385
"dnaK",521,441,1232,1638,723,880,2378,2120,534,6419,671,3750,3377,4125,10756,11472
"dnaN",1422,1246,1896,2911,2803,2234,2576,2353,1357,6740,1483,3888,4775,2608,9469,5186
"dprA",185,237,465,360,455,308,517,508,200,1158,254,1291,992,385,2183,1247
"dusB",221,216,400,472,431,377,741,419,341,1704,348,1771,1369,733,2503,1735
"dut",195,163,270,335,362,187,353,373,198,931,191,866,797,284,1585,897
"dxs",2750,2903,6013,8485,4945,6250,7909,4684,2568,18205,3495,15509,9730,10941,18952,16897
"efp_1",4471,4569,7179,10543,7890,10334,11357,7567,5061,27692,5209,20623,17276,13982,26871,28889
"efp_2",1664,1950,2832,4892,3578,5446,5010,3634,1623,11898,2203,7060,6511,6028,11291,13967
"eno",572,753,1070,1396,1460,993,1433,1454,535,3758,789,2656,2855,1265,6052,3325
"fabD",1333,1675,1462,2040,2573,2009,1783,2558,1510,5799,1715,4913,5738,2055,8252,5878
"fabF",1362,1696,2461,2535,3303,1998,3200,4449,925,7410,1309,5791,6639,2555,13529,7961
"fabG",2399,2379,4475,7067,5574,6781,6928,5875,2351,17702,2798,11196,10125,9282,20231,18638
"feoB_1",987,1145,1299,1824,2598,1737,2350,2454,555,2555,602,2213,3954,2124,7889,5081
"feoB_2",662,784,1050,1189,1475,912,1502,1550,284,1639,421,1667,1514,601,3630,1905
"ffh",3457,4588,8146,10694,10050,7433,13889,11460,3677,28564,5626,25548,21619,10695,49602,31346
"folB",73,38,63,152,125,99,113,103,111,454,119,236,383,238,620,358
"folD",1097,1445,1810,2224,3858,2748,3516,3888,1175,6989,1439,5076,8090,4499,16444,10298
"folE",199,196,317,464,396,316,377,365,286,1533,267,1097,1132,576,1673,1015
"folK",99,90,138,206,308,160,242,317,121,624,173,639,1157,401,1811,886
"folP",366,458,667,784,886,592,930,1050,373,1789,467,1797,1741,701,3446,2209
"frr",144,192,229,202,363,192,309,360,143,735,191,785,676,188,1766,808
"fsa",477,350,366,839,851,515,419,530,445,1832,463,908,1718,710,2867,1049
"ftcD",6229,8626,12435,12603,14947,8121,16235,18658,4483,31363,7213,32131,26986,8316,62869,44904
"ftsY",438,594,1297,1257,1193,838,1696,1588,382,3436,603,3329,2154,979,5545,4106
"ftsZ",3627,4637,6402,6872,7291,4760,7097,8609,3489,17369,4568,20071,15740,5670,29467,18533
"fusA",3482,4043,7084,8194,7980,5431,10876,11024,2572,24434,3823,20987,17045,8567,39099,26787
"galE",476,385,688,993,983,593,844,1038,435,2346,456,1459,1989,892,4280,1873
"galK",226,169,242,355,415,284,398,347,332,1089,296,788,1393,523,2035,905
"gap",5572,6269,6040,10799,9186,9543,7775,7282,7694,26072,8171,16526,20962,12033,29695,19292
"gcvH",1557,952,1029,2245,1976,1652,1212,1454,1344,5084,1167,1974,4073,2147,5598,2931
"gcvP",10081,13684,20472,24017,25223,23748,31728,28887,9256,56052,12468,53944,44128,21288,86638,64684
"gcvT",2453,3176,3650,4331,6130,3892,5248,6721,2213,12617,2815,9350,13492,4458,20991,14201
"gdhA",3320,4018,5657,7073,7331,4930,7190,7772,3443,19800,4491,15510,21816,7338,32005,18871
"gldE",1068,536,882,1880,1556,985,1016,1074,1292,4201,947,2894,4025,1783,6040,2463
"gldH",125,103,198,213,208,174,248,216,117,721,148,718,527,391,1269,777
"gldL",1133,1511,2039,2208,2812,1625,2616,2761,1392,8978,2026,8378,6124,2129,12761,7615
"gldM",1562,1427,2698,4485,3856,2938,3612,2780,2400,15209,3209,12471,10243,5255,19574,10442
"gldN",1102,1066,1525,2346,2734,2134,2549,2354,1465,7463,1563,7115,7019,2963,12020,8293
"glmM",951,1441,2079,2069,2486,1468,2825,3163,765,5127,1235,5455,4325,1545,9697,6153
"gltA",308,391,606,728,711,610,1014,784,459,3008,582,2372,2455,1127,5705,3048
"gmd",511,554,750,902,987,948,1304,989,410,2245,475,1774,1667,950,3626,2257
"gmk",86,87,261,287,265,129,244,232,99,801,156,1041,692,193,1369,750
"gpmA",531,650,775,950,1086,697,936,1089,499,2671,605,1882,2489,640,4483,2418
"greA",187,123,104,378,549,346,300,257,236,979,239,335,921,747,1869,742
"groL",2160,1938,5963,6887,3586,3310,10381,9950,1844,21827,2327,19455,14976,11624,41454,39252
"guaA",5336,7076,11425,14677,14192,10315,21818,22789,4499,34480,6883,41587,28022,12567,70758,58712
"gyrA",4665,3680,6612,7171,10161,6057,10740,8555,5005,22043,5035,17148,20619,8587,37024,24820
"gyrB",998,783,1513,2050,2334,1349,2337,1923,920,5360,1047,4255,5051,2079,10700,4767
"hcp",116,94,105,167,185,105,173,159,122,461,126,390,492,209,946,415
"hemG",1646,1793,3475,3441,3172,2218,4024,3708,2026,10400,2101,14158,8567,3418,16615,10105
"hemH",800,863,1200,1377,1391,1004,1420,1555,761,3534,837,3575,3309,1427,4930,3845
"hemW",155,190,311,298,308,214,294,325,199,1112,259,1253,964,436,2089,1047
"hflB",9740,8608,10284,19501,22565,20315,19809,20077,10034,37677,10522,26967,53301,28196,80735,53519
"hflX",361,403,666,684,703,502,833,769,331,1979,462,1805,1518,703,3297,2099
"holA",847,776,936,1461,1471,1276,1412,1460,889,3805,958,2634,3487,1580,5412,3940
"holB",1428,1517,2174,3108,2482,2600,3251,2616,1520,7869,1568,6067,6008,4153,9477,8649
"htpG",721,397,1148,1926,663,907,1826,1774,610,5828,579,3289,3136,3752,7851,8908
"hutH",1841,3062,4191,3698,4725,2454,4970,6483,1443,11006,2523,12782,8928,3421,21136,15535
"infA",175,187,324,395,535,164,518,699,172,1063,237,1276,1108,243,3004,1330
"infB",5592,7393,10952,13207,15174,8968,16140,16321,6323,40875,9405,47337,34174,17831,69170,50014
"kbl",1564,2099,2749,4067,4247,3110,3907,4587,1791,11333,2464,8828,9856,4014,17088,11948
"kdsA",819,539,1086,1821,1476,1476,1617,1061,1184,5055,1066,2539,4064,2782,6983,3350
"kdsB",319,497,856,887,1084,565,1030,1335,365,3154,532,2823,2147,993,5413,3663
"lepA",1736,1961,3503,4555,3931,3010,5152,4871,1509,10729,1961,8466,7084,4240,15681,13245
"lepB_1",192,179,334,368,291,232,352,371,230,927,222,1256,868,326,1498,968
"lepB_2",2389,3074,5255,5487,5635,3713,6947,6968,2389,13138,3396,17525,13888,4263,25739,16856
"lgt",370,302,584,678,863,485,812,940,330,1655,378,1746,1521,737,3236,1870
"ligA",561,607,860,1428,1171,867,1230,1246,608,3868,903,3581,3708,1550,6424,3618
"lipA",89,81,150,199,202,146,231,200,119,483,115,474,461,229,1270,589
"lon",1195,1239,2547,2886,3048,2138,3804,3227,1471,7905,1914,8605,7443,3087,16104,7969
"lpdA",426,475,804,967,998,666,1149,1537,408,2607,447,2332,2358,982,5524,2861
"lptB",925,872,1333,1885,2689,2503,3426,2559,791,5233,800,2845,6672,5259,13909,10879
"lptC",2519,1835,2591,5520,4158,3718,3802,4401,3076,12934,2791,9960,11005,5163,20587,12006
"lpxA",453,594,949,1044,1178,579,1385,1529,457,2508,602,2793,2566,836,5597,3371
"lpxB",1701,2059,4645,4118,3449,3285,6630,4416,1628,11212,1858,18173,7909,4262,16933,13269
"lpxD",440,448,806,991,1127,674,1314,1336,436,2758,507,2275,2263,1279,6204,3383
"lpxK",546,656,970,1002,1048,705,1339,1153,549,2864,600,2801,2390,970,4205,2824
"lysA",106,139,224,214,246,157,255,219,146,738,151,713,697,306,1669,763
"lysS",2096,2475,4701,6433,5942,5231,7176,5390,2344,16152,3583,14604,11811,7768,25137,16056
"maf",57,53,90,128,110,87,123,74,47,258,70,247,278,142,533,240
"map",491,867,1359,1132,2438,562,2078,3669,350,3542,858,5665,3719,644,13056,5666
"mazG",608,406,728,1192,1271,752,1161,1315,711,3926,758,2444,3865,2293,6230,3152
"mce",1020,715,1010,2114,1930,1097,1488,1450,1332,4901,1448,3391,4573,1490,8317,4215
"meaB",271,320,444,555,601,362,550,618,335,1664,377,1555,1452,624,3385,1414
"megL",4809,7504,11051,11069,10878,7652,12424,15195,4153,29341,5952,29062,23019,8024,48420,32562
"menA",34,22,33,57,68,63,73,46,61,265,79,211,217,138,468,215
"menB",53,45,40,135,123,97,114,83,76,370,83,289,356,125,992,315
"menD",62,69,115,159,195,122,157,138,135,616,128,442,551,216,1236,450
"metG",634,934,1749,1789,2220,1197,2980,3032,530,4563,909,4758,3483,1371,9304,6171
"mfd",1773,1388,2493,3779,3084,2408,3327,2895,1842,9711,2021,7625,7587,3457,14650,9384
"mgtE",260,343,790,757,713,566,1066,762,368,2115,453,2851,1332,739,3377,2226
"miaA_1",54,78,107,116,181,93,148,180,100,541,149,594,585,248,1647,604
"miaA_2",823,447,737,1642,923,637,897,739,935,3687,952,2335,3094,1185,5498,2157
"miaB",303,428,647,800,683,659,1014,824,293,1921,387,1566,1405,824,3025,2209
"mltG",3870,4221,7031,8776,7096,7620,10103,7232,3616,17095,3873,15797,11308,7126,22272,15108
"mnmA",212,276,416,411,702,270,629,1044,187,1050,241,1334,1333,479,3430,1532
"mnmD",161,129,280,345,299,269,391,219,247,1241,258,1241,1040,638,1806,1017
"mnmE",1342,1055,1740,3276,2391,2760,2884,2379,1292,7092,1388,4438,4777,4050,9382,6104
"mnmG",2384,3338,5279,5889,6630,4181,8414,8488,1735,11384,2384,11988,9954,3590,21768,15570
"mnmH",1871,1898,2724,3982,3429,2900,3731,3338,1993,9906,1949,6642,6395,3593,12803,7784
"mrdA",800,857,1655,2092,1496,1447,2222,1452,857,6698,1273,5768,4318,2539,7588,5385
"mreC",121,78,154,215,238,178,238,222,124,768,190,748,695,323,1634,664
"mreD",84,76,153,169,168,106,203,190,70,456,102,592,421,143,932,470
"mscL",33,32,26,43,63,50,37,45,39,152,47,83,165,48,299,121
"msrB",2424,2707,4988,5500,5799,3559,6502,6832,2068,14813,2620,15985,11319,3962,22160,15062
"mtaB",2476,2408,3593,5463,4446,4965,5540,4188,2472,11349,2411,7003,8034,5364,13946,11575
"murA",835,762,1107,1435,1976,1170,1548,1851,935,4617,1163,3575,4548,1805,7962,4371
"murB",1450,2264,4306,3250,4082,1659,4679,5662,1674,12628,2996,22750,13339,2938,27666,16890
"murD",641,443,723,1520,1350,892,845,1132,773,3650,860,2643,3096,1306,7198,2806
"murG",556,827,1320,1221,1471,742,1394,1906,579,3646,740,4813,2936,964,6412,4150
"murI",6248,5941,11734,13817,12858,8198,16142,12287,5529,25330,7133,33914,24666,8591,45409,23453
"murQ",366,336,541,761,759,729,882,702,521,2240,552,1454,2115,1605,4329,2118
"mutA",715,1104,1251,1377,1827,1059,1798,2222,693,3944,991,3276,3670,1211,8003,3525
"mutL",1270,1595,2586,2535,2442,1746,2624,2745,1997,10487,2189,12621,7496,3388,13553,9254
"mutS",1827,2545,3393,3873,4455,2392,4407,5691,1650,10155,2229,11083,9094,3128,19003,11215
"mutY",206,188,229,467,418,346,344,298,205,948,230,544,721,398,1462,862
"nadA",493,564,985,1235,1488,858,1620,1686,506,3004,644,2929,2827,868,5910,3502
"nadB",1677,1202,1834,3004,2931,2597,3103,2068,2185,8651,2344,4682,7085,5060,12682,7111
"nadC",131,157,228,237,422,154,445,436,92,788,144,684,659,153,1876,764
"nhaA",433,398,493,693,712,509,662,712,523,2023,463,1497,1911,841,3135,1615
"nifJ",4586,4097,8856,15332,6950,14202,20225,7100,8662,69561,9858,51395,28296,35302,52210,66573
"nqrA",1189,1477,1877,2998,2666,2031,2842,3289,1936,11216,2592,6998,8891,4276,17451,12047
"nqrB",167,266,548,473,580,262,830,980,219,2130,399,2289,1519,524,4730,2793
"nqrD",521,886,2109,2157,1450,1493,2877,2136,842,8125,1491,9282,4849,2947,10499,9818
"nqrE",73,120,177,151,253,97,280,379,78,662,166,761,727,161,1933,861
"nqrF",499,437,742,833,806,611,927,946,618,3300,694,2816,2876,1225,4599,2705
"nrdG",744,395,738,1878,729,618,517,529,1815,7961,1275,4000,4976,3669,6764,4176
"nrfA",1204,1383,1857,2495,2686,2032,2472,2448,1596,6412,1942,5957,6300,2526,10897,5990
"nrfH",416,194,413,638,676,507,600,454,536,1505,386,1247,1558,998,2645,1160
"nspC",535,738,1192,1222,1263,745,1769,1792,480,3050,630,3513,2437,1057,6189,3984
"nth",281,249,544,865,604,460,779,621,386,2401,487,2185,1752,1083,3439,1995
"nusA",1829,2720,5257,4658,5763,3725,7949,6653,1775,15292,3002,19725,12407,6115,26891,19322
"nusB",2400,1863,2895,5343,5094,3089,4319,4824,2554,13769,2787,8149,9647,5657,21594,11924
"nusG",804,927,1688,2124,3120,1098,2533,2894,862,7114,1429,5720,6828,2539,15711,7699
"obgE",1419,1824,4075,4372,3770,2929,5633,4272,1441,10595,2040,11759,7926,4300,16618,12906
"omp28",1943,2386,4603,6137,5218,5329,5878,4669,2499,16136,3511,14006,9733,6503,20645,14392
"panB",643,514,1003,1488,1029,1291,1805,1043,664,4241,744,3248,2754,2264,4417,3509
"pckA",1358,1747,2269,2625,2925,1752,2629,3186,1195,6811,1521,5853,5191,1887,11041,6325
"pdxA",1228,895,1541,2340,2658,1682,2370,2299,2233,7995,1811,4545,8222,4088,14763,6499
"pdxB",1101,1670,2950,2514,3199,1990,3874,4027,1254,7889,1585,9286,6632,2694,13935,10443
"pdxH",1207,628,993,2465,1442,1522,1294,965,1250,4746,1200,2075,2852,2323,5072,2967
"pdxJ",2441,2801,5778,5717,6445,7225,11921,7138,1900,11342,2476,14259,12190,8333,24946,22548
"pepT",1623,1536,2320,2487,2686,1610,2494,2999,1925,8812,1493,9047,7438,2282,12666,9084
"PG_RS00010",144,147,320,350,310,193,407,318,195,1260,240,1740,1063,494,2477,1369
"PG_RS00015",274,150,692,721,381,340,801,348,410,2448,368,4392,1368,1212,2900,2020
"PG_RS00020",1054,1010,764,1431,1404,1251,1079,1407,847,2601,704,1408,2327,1152,3494,2108
"PG_RS00025",405,409,519,1022,835,845,914,837,438,2242,451,1638,1984,1402,3516,2401
"PG_RS00030",999,628,1549,2553,1453,1550,2054,1242,1339,7764,1249,5751,5887,7463,10347,8961
"PG_RS00035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS00040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS00055",5123,5479,9338,13909,16491,14880,20989,19997,4654,34427,5698,23198,33726,28632,76264,68009
"PG_RS00060",1619,1663,2604,2957,3250,2553,3396,2923,1924,7423,2086,7034,7259,4340,14666,7984
"PG_RS00065",2078,1559,1732,3710,3383,2677,2412,2580,2147,8077,1973,4014,6523,3590,11831,6370
"PG_RS00070",195,198,506,389,438,276,649,531,212,1243,220,1687,1151,443,2753,1575
"PG_RS00075",379,501,880,896,951,584,1169,1069,453,3098,603,2937,2323,1097,4973,3865
"PG_RS00080",699,457,709,1266,1090,902,704,732,818,2883,752,2146,2497,1126,4438,2235
"PG_RS00085",426,329,547,815,768,652,686,539,576,2756,579,2641,2185,1251,3652,2306
"PG_RS00090",326,171,139,393,322,106,52,53,522,750,338,254,477,64,765,163
"PG_RS00095",474,338,547,753,666,496,701,471,767,2752,776,2222,2346,951,3794,1923
"PG_RS00110",170,164,222,423,320,322,396,321,274,1611,403,1131,1071,657,2319,1298
"PG_RS00115",199,148,201,297,615,331,436,411,277,1250,332,725,1721,829,3459,1405
"PG_RS00130",264,184,324,431,447,324,397,422,339,1208,296,1150,1180,632,2150,1365
"PG_RS00135",131,123,255,253,287,188,280,231,159,739,159,837,668,332,1321,690
"PG_RS00140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS00150",48,32,63,87,94,60,70,84,72,272,45,343,343,111,509,344
"PG_RS00155",743,734,1180,1434,1583,1234,1669,1632,814,3783,850,3864,3663,1814,6510,4447
"PG_RS00200",1134,1529,2106,2147,2622,1871,2632,2876,1065,6073,1424,5090,4835,2121,11513,6686
"PG_RS00205",955,1448,1973,1739,2751,1416,2541,3775,871,4432,1131,5608,4415,1146,9964,5791
"PG_RS00215",4082,4482,8500,16642,11668,18721,13461,10236,5691,44334,7080,27161,28417,37091,58768,51364
"PG_RS00230",67,31,0,52,60,34,25,57,68,211,21,54,129,43,194,58
"PG_RS00235",26,21,10,28,68,47,34,52,10,108,19,39,103,144,423,164
"PG_RS00240",339,297,313,467,498,349,371,370,446,1130,406,892,1152,455,2056,820
"PG_RS00250",387,413,660,1021,803,633,624,661,466,2214,546,2148,1520,839,2883,1581
"PG_RS00255",1085,701,895,1883,1851,1490,1193,1206,1151,4185,1257,2166,3799,1680,7806,3039
"PG_RS00265",192,251,370,398,487,371,515,543,253,1274,294,1364,1212,480,2248,1314
"PG_RS00270",27,35,42,77,110,72,94,79,39,204,39,208,300,120,528,203
"PG_RS00275",20,9,18,28,43,26,20,42,17,77,20,66,102,41,179,64
"PG_RS00280",401,506,745,774,1369,847,1124,1237,600,2604,739,3134,3264,977,6224,2948
"PG_RS00285",150,235,283,333,576,414,501,505,290,1130,397,1392,1879,669,3514,1581
"PG_RS00290",481,510,232,679,1447,1055,738,966,652,1916,726,1054,2396,1662,4585,2231
"PG_RS00295",331,435,220,273,1032,508,614,1114,328,1047,378,914,1594,745,3980,1821
"PG_RS00300",137,143,84,123,326,143,174,296,160,408,135,333,659,247,1626,478
"PG_RS00305",1462,1374,1218,1552,2119,1747,1623,1885,1168,3299,868,2422,3091,1842,4555,2951
"PG_RS00310",1018,1012,1686,1767,1998,1053,2319,2424,899,5199,1017,6053,5431,1756,10230,5744
"PG_RS00320",3530,3370,6696,10223,7500,6643,10174,7794,3752,24137,3924,16508,13982,10661,30978,20717
"PG_RS00340",1016,1340,2698,2943,2724,2174,3518,2777,1096,7851,1532,7054,5441,3339,11704,8419
"PG_RS00345",8618,4874,9781,18735,10526,11901,14046,7734,8096,30698,7209,20340,19793,15059,33365,20256
"PG_RS00350",148,48,80,269,141,45,94,116,181,582,183,290,442,208,1110,353
"PG_RS00355",757,312,439,2512,1257,675,594,870,1212,6055,1253,1190,4829,2313,9733,2899
"PG_RS00360",4388,3251,4703,9473,7651,7484,7185,5821,5764,23328,6386,13771,20032,14602,34187,19039
"PG_RS00365",176,136,212,357,352,220,261,285,254,1113,256,573,1075,483,2751,825
"PG_RS00370",130,139,154,184,269,164,215,274,132,615,184,461,643,299,1449,666
"PG_RS00375",222,216,383,452,554,385,590,576,332,1585,396,1329,1645,732,3708,1791
"PG_RS00380",545,370,751,1146,1032,920,1230,690,680,3589,846,3293,3202,2606,5621,2825
"PG_RS00385",888,1258,2504,2053,2435,1585,3590,2453,839,6041,1526,8503,5003,2658,11491,6303
"PG_RS00390",4797,2919,5767,13697,7836,11801,9645,5359,4809,26488,6029,16181,15966,20403,30515,24491
"PG_RS00395",581,676,943,1260,1192,1013,1543,1234,537,3109,674,2212,2331,1316,4464,3438
"PG_RS00405",2472,1002,1117,3825,3102,2321,1459,1441,2407,8459,2276,3135,6905,4802,12428,3442
"PG_RS00410",1487,1684,2865,3517,2902,2442,3830,3509,1803,8821,2069,11968,7260,3873,13640,10147
"PG_RS00415",1573,1645,2235,2822,2793,2105,2826,3263,1767,7498,1913,8825,6607,2782,10996,7978
"PG_RS00420",937,1039,1289,1785,1888,1427,1720,2027,944,5254,1104,4182,4006,1986,7686,5178
"PG_RS00425",4053,4607,6585,7577,7060,6247,9362,7686,4231,19278,4593,20626,15713,8038,26103,21355
"PG_RS00440",1642,1432,2123,4185,3555,2065,3007,3334,1631,9574,1985,5862,7387,3407,13968,7853
"PG_RS00445",809,1072,2119,2232,2234,1567,3002,2810,795,5554,1045,5887,3983,1873,10343,6533
"PG_RS00455",1444,1218,1745,6000,2535,2988,3927,2352,1137,9864,1353,3765,5200,5805,15174,8228
"PG_RS00460",4389,8404,8451,10467,13563,8341,11600,12314,8039,22693,7702,30316,24794,8241,91109,34019
"PG_RS00470",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS00475",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS00480",14528,34003,37934,35124,56982,24688,46713,63162,22478,81730,28741,132878,95657,24391,286176,159647
"PG_RS00495",216,150,166,516,469,224,233,219,406,1313,399,617,1109,569,2544,765
"PG_RS00505",238,84,118,458,319,184,143,113,348,1099,318,421,1196,647,2099,505
"PG_RS00510",136,56,117,343,321,146,174,113,292,1131,335,602,1066,417,2294,513
"PG_RS00515",93,50,60,176,150,102,76,92,142,417,135,251,565,212,1542,264
"PG_RS00520",46,24,70,166,123,59,95,77,69,480,126,280,470,189,1129,280
"PG_RS00525",54,49,98,186,153,105,140,88,104,438,125,386,525,282,838,407
"PG_RS00530",148,122,179,294,294,239,276,209,271,948,272,708,1014,526,1788,932
"PG_RS00535",49,26,24,88,66,35,27,33,73,175,65,57,177,99,343,106
"PG_RS00540",64,35,41,117,109,64,70,60,91,282,92,149,335,140,506,213
"PG_RS00545",100,34,69,196,147,124,104,64,158,351,149,202,393,213,658,201
"PG_RS00550",45,30,33,92,132,44,72,80,60,267,104,129,321,93,983,163
"PG_RS00555",98,78,74,161,214,86,104,128,123,465,157,293,682,131,1027,264
"PG_RS00565",4448,1390,1193,5532,5460,2303,1255,1554,7470,11078,5509,2562,15135,4173,19827,2741
"PG_RS00570",391,503,892,764,866,617,948,846,506,2290,676,2892,1770,752,3391,1959
"PG_RS00575",288,383,690,675,629,495,753,681,452,2322,556,2640,1600,868,3263,2157
"PG_RS00580",358,382,491,685,721,525,798,720,345,1858,440,1607,1506,752,3033,1842
"PG_RS00585",1184,1125,1506,1935,2163,1673,2196,1975,1048,5158,1052,3326,3678,2211,7205,4415
"PG_RS00595",163,223,358,338,383,200,392,363,220,1079,265,1125,878,363,2130,1200
