"gene_id","HG001.rep1","HG001.rep2","HG001.rep3","UTI.89.mixed.with.HG001.rep1","UTI.89.mixed.with.HG001.rep2","UTI.89.mixed.with.HG001.rep3"
"SAOUHSC_00569",191,202,180,16,50,35
"SAOUHSC_00571",23,19,20,1,3,6
"SAOUHSC_00572",28,28,21,1,2,12
"SAOUHSC_00573",217,275,270,21,27,109
"SAOUHSC_00574",595,696,625,63,45,224
"SAOUHSC_00575",397,456,460,44,33,167
"SAOUHSC_00577",71,62,70,3,13,35
"SAOUHSC_00578",74,102,72,6,17,49
"SAOUHSC_00579",94,107,98,15,14,62
"SAOUHSC_00580",14,22,25,0,1,10
"SAOUHSC_00581",20,20,20,1,2,5
"SAOUHSC_00582",3,3,4,0,0,4
"SAOUHSC_00583",0,0,0,0,0,0
"SAOUHSC_00584",36,45,39,4,6,14
"SAOUHSC_00585",10,13,8,1,1,1
"SAOUHSC_00586",5,10,13,1,3,8
"SAOUHSC_00587",9,16,16,2,5,6
"SAOUHSC_00588",10,7,8,0,1,2
"SAOUHSC_00589",0,1,0,0,0,1
"SAOUHSC_00591",10,7,4,0,0,2
"SAOUHSC_00592",3,4,5,0,2,1
"SAOUHSC_00593",10,4,12,0,0,3
"SAOUHSC_00596",5,6,5,0,1,0
"SAOUHSC_00598",3,4,6,0,1,0
"SAOUHSC_00599",6,7,7,0,0,1
"SAOUHSC_00600",3,2,1,0,0,2
"SAOUHSC_00602",7,4,2,0,1,3
"SAOUHSC_00603",53,55,35,6,7,21
"SAOUHSC_00604",80,66,78,6,5,44
"SAOUHSC_00605",56,51,51,2,7,15
"SAOUHSC_00606",143,134,174,8,30,41
"SAOUHSC_00607",74,48,80,4,11,19
"SAOUHSC_00608",94,116,134,29,23,229
"SAOUHSC_00609",1,0,0,0,0,0
"SAOUHSC_00610",48,29,42,3,2,13
"SAOUHSC_00611",203,245,237,19,26,51
"SAOUHSC_00612",16,17,16,2,2,6
"SAOUHSC_00613",40,50,42,1,8,35
"SAOUHSC_00614",23,34,27,3,2,17
"SAOUHSC_00615",29,24,35,1,2,10
"SAOUHSC_00616",34,35,41,2,8,23
"SAOUHSC_00617",247,296,283,39,13,128
"SAOUHSC_00618",71,83,78,5,13,30
