"gene_id","S1.ctr_1h.BR1","S2.trt_1h.BR1","S3.ctr_3h.BR1","S4.trt_3h.BR1","S5.ctr_1h.BR2","S6.trt_1h.BR2","S7.ctr_3h.BR2","S8.trt_3h.BR2","S9.ctr_1h.BR3","S10.trt_1h.BR3","S11.ctr_3h.BR3","S12.trt_3h.BR3"
"t145_t084_09900",19847,1918,17373,21889,21093,34097,13467,12992,68505,19915,9517,13264
"t145_t084_09910",11415,5233,4102,58689,8499,71412,5903,36608,24827,54675,3067,37513
"t145_t084_09920",24787,8225,10342,72100,17684,131955,13563,42688,56704,63887,6969,43473
"t145_t084_09930",31846,7092,17798,58382,33677,126342,21379,34594,83027,70155,11521,36240
"t145_t084_09940",113494,34939,124235,264687,103508,437727,119625,115320,291364,176166,58949,120225
"t145_t084_09950",27343,1046,18862,6656,25716,21802,19351,3955,80706,12381,14323,8387
"t145_t084_09960",6370,200,5958,1957,7018,5235,6150,1229,16964,2618,4469,2313
"t145_t084_09970",1437,60,491,368,1337,889,523,235,5111,219,271,305
"t145_t084_09980",35609,10138,35177,54857,33186,109967,44273,34097,98601,61889,24949,48090
"t145_t084_09990",12606,2991,10462,15496,12687,39569,13185,7270,33343,18646,7632,12466
"t145_t084_10000",443,102,573,1455,369,2241,607,589,1447,624,442,598
"t145_t084_10010",837,133,743,1493,519,3217,732,943,1688,752,570,1006
"t145_t084_10020",1174,171,847,1619,791,3252,754,1006,2127,750,689,1298
"t145_t084_10030",902,138,687,1381,852,2685,680,953,2548,782,535,1011
"t145_t084_10040",5709,1530,2117,15406,5392,40884,2194,7304,16765,18177,1674,6570
"t145_t084_10050",2638,406,1534,7273,3004,14049,1801,3354,8509,8153,1183,3368
"t145_t084_10060",672,144,585,1587,820,3108,565,897,2327,1812,393,896
"t145_t084_10070",677,270,649,1231,818,3530,722,793,1124,2733,398,1027
"t145_t084_10080",1836,134,1568,2160,1954,3198,1054,1716,6159,1725,1118,1787
"t145_t084_10090",7451,2146,4451,17356,7858,30897,7461,9777,25209,16216,3243,7983
"t145_t084_10100",4674,1112,2798,8058,5031,14976,3294,3820,15512,7326,1595,4217
"t145_t084_10110",15437,3435,8969,24762,15037,45356,11346,12753,53661,24468,5873,14171
"t145_t084_10120",12157,2418,9191,16966,13642,34298,9126,9293,36934,17293,5427,10713
"t145_t084_10130",10459,1424,6902,5786,10922,18835,7138,2609,35323,9783,3983,4623
"t145_t084_10140",12221,2324,7987,15029,12331,25924,11800,5728,45061,12025,5691,6631
