"gene_id","Un_A_count","Ox_A_count","Lor_A_count","Un_B_count","Ox_B_count","Lor_B_count","Co_B_count","Un_C_count","Ox_C_count","Lor_C_count","Co_C_count"
"sRNA00005",0,3,5,9,0,0,2,4,0,2,0
"KNNFDEDG_00481.t00",4,1,7,7,8,5,4,4,1,13,10
"sRNA00003",1,12,2,5,44,13,16,3,47,22,32
"Novel00379",2,1,0,0,0,0,0,4,0,1,6
"Novel00127",0,4,0,2,0,3,0,2,0,0,0
"Novel00126",9,2,7,10,0,2,1,6,2,6,1
"KNNFDEDG_01994.t00",53,55,330,40,133,221,162,39,124,286,179
"KNNFDEDG_01148.t00",24,31,42,35,40,17,39,49,30,43,48
"KNNFDEDG_02037.t00",496,233,1356,647,195,706,641,739,301,904,842
"KNNFDEDG_01400.t00",1776,1933,3283,2692,3645,2753,5000,3195,4014,4081,5546
"KNNFDEDG_01976",5620,2983,9492,5516,4146,9112,7174,5356,4679,9633,6011
"KNNFDEDG_00418",658,955,523,836,948,432,372,884,1045,437,394
"Novel00208",0,0,1,0,0,0,0,0,0,1,0
"Novel00209",2,0,6,4,2,0,3,5,5,3,3
"KNNFDEDG_01555.t00",64,78,142,81,114,136,160,51,131,177,141
"KNNFDEDG_02785.t00",1294,675,1929,2290,821,1369,2201,2350,1107,2450,1649
"Novel00203",1,0,0,0,0,0,4,0,0,0,5
"Novel00200",7,5,0,7,3,3,1,8,10,0,2
"Novel00201",5,2,5,12,5,7,18,10,6,5,13
"Novel00206",24,62,59,10,12,64,16,11,26,13,16
"Novel00207",1,0,0,0,0,0,0,0,1,0,0
"Novel00204",2,2,0,1,0,4,0,3,0,1,0
"Novel00205",1,12,0,0,0,17,3,0,0,5,6
"KNNFDEDG_00842",3099,2794,1721,2502,3088,1976,2062,2051,3365,1766,2335
"KNNFDEDG_00074.t00",539,13362,435,595,19954,537,8905,589,22212,690,10742
"KNNFDEDG_01261.t00",743,1938,4726,584,1882,6578,3594,605,1603,5454,2810
"KNNFDEDG_00841",2844,1845,2892,3775,3985,1720,3462,3731,5507,2709,3477
"KNNFDEDG_00846",2889,1585,2047,3047,2265,2000,3337,2971,2591,2409,3156
"KNNFDEDG_00847",3177,1882,1280,2914,2276,1505,1915,2943,2438,1551,1826
"KNNFDEDG_00844",22374,10546,22637,24226,17128,16818,20072,22789,19668,20814,22176
"KNNFDEDG_00845",13622,7925,10319,13664,9692,10634,12702,13366,10445,11587,13268
"KNNFDEDG_00848",1897,1222,502,1271,1216,678,759,1283,1141,538,765
"KNNFDEDG_00849",6259,7576,3409,6447,10215,3794,5670,6543,11179,4150,5874
"KNNFDEDG_02601.t00",10,20,7,32,12,16,19,16,13,22,25
"KNNFDEDG_01503",4538,4574,3680,3941,3981,3526,2950,3538,4665,3305,3482
"KNNFDEDG_00321.t00",3509,1830,6946,5999,2192,5489,4856,5252,2317,6442,4753
"KNNFDEDG_01029.t00",8,5,8,6,7,10,16,7,8,11,7
"KNNFDEDG_00022.t00",362,165,310,464,291,285,266,385,380,349,264
"KNNFDEDG_02110.t00",8,3,6,14,2,2,0,2,4,2,4
"KNNFDEDG_00766",4648,5405,4921,4474,8257,5635,7310,4271,8992,5804,7310
"KNNFDEDG_00522.t00",734,637,2348,912,1019,1745,2170,855,1121,2240,2136
"KNNFDEDG_02040.t00",17,2,10,12,1,0,8,9,6,1,4
"KNNFDEDG_01130",5,0,4,6,2,4,4,6,6,10,12
"KNNFDEDG_00839.t00",118,78,111,218,91,143,235,196,196,201,266
"KNNFDEDG_00572.t00",357,570,866,870,1688,430,2388,683,2165,1245,2100
"KNNFDEDG_02707.t00",1,0,4,4,3,10,6,2,7,18,9
"KNNFDEDG_01487",2480,1384,2383,2312,1774,2193,1537,2085,1933,2212,1729
"Novel00301",7,10,4,27,11,2,7,31,7,14,9
"KNNFDEDG_02339.t00",966,412,908,1202,698,544,515,1265,829,838,647
"KNNFDEDG_02472.t00",318,180,244,453,241,128,212,450,313,226,268
"Novel00300",12,0,4,30,7,6,9,24,15,3,6
"KNNFDEDG_01619.t00",520,236,237,415,233,206,214,456,258,208,224
